"id","country","leader","period","region","path_type","cluster","priority","status","econ_conditions","social","institutional","political","external","unique_aspects","historical_match_1","historical_match_2","historical_match_3","vdem_coverage","data_notes"
"UKR_MAIDAN","Ukraine","Various","2004–2014","Post-Soviet/E.Europe","Transition","civil_society_transition","High","Completed arc","Post-Soviet oligarchic capitalism — Donetsk vs Dnipro clan competition; Orange Revolution partly driven by Yanukovych-linked oligarchs vs Yushchenko-linked oligarchs; gas pricing disputes with Russia as economic leverage tool; EU Association Agreement as economic turning point trigger","Orange Revolution 2004 — million-person Maidan as civil society event; linguistic divide (Ukrainian vs Russian) used as political wedge; regional identity politics (east vs west); Euromaidan 2013–14 beginning as student protest — Berkut violence radicalising it","Kuchma era: competitive authoritarianism with functioning opposition; Yanukovych elected legitimately 2010 — then accelerated consolidation attempt; Constitutional Court ruling restoring 2004 constitution — institutions holding initially; Berkut riot police as instrument of repression","Two Maidan events as bookends; Orange coalition fracturing (Yushchenko vs Tymoshenko) undermining first democratic period; Yanukovych EU association rejection as triggering event for Euromaidan; flight to Russia after Maidan — institutional vacuum","Russian gas pricing as permanent leverage; EU Association Agreement as turning point; US and EU supporting democratic movements; Russian military intervention in Crimea/Donbas as direct consequence of Maidan success","Two democratic breakthrough events in 10 years in the same country — unique. The Orange Revolution partially failed (coalition fragmentation) but created the civil society infrastructure that made Euromaidan possible. The external Russian response to democratic transition is a new variable: successful democratic transition triggering military invasion by neighbouring power.","Poland Solidarity (58%)","Serbia Bulldozer Revolution (62%)","Georgia Rose Revolution (70%)","Excellent","V-Dem 1991–2024; detailed OSCE monitoring; Razumkov Centre survey data; two phases coded separately"
"UKR_WAR","Ukraine","Zelensky","2019–2026","Post-Soviet/E.Europe","Resilience","extreme_stress_resilience","High","Live — wartime democracy","Pre-war reform momentum (anti-corruption, EU integration); GDP -30% 2022 — largest wartime economic contraction of any democracy; massive Western financial support (~100bn USD) replacing state revenues; war economy: 25% GDP defence spending; corruption remaining endemic despite reforms","National identity crystallisation under Russian military pressure — Ukrainianisation accelerating; 8m+ external refugees + 6m internal displaced; territorial losses (Crimea, Donbas) as permanent trauma; civil society mobilisation (volunteers, territorial defence) unprecedented scale","Martial law enabling executive concentration — elections suspended; some media consolidation justified by wartime; Constitutional Court functioning; anti-corruption institutions (NABU, SAP) continuing operation under pressure; Zelensky popularity decline as war extends","Zelensky comedian-president → war leader transformation unique in democratic history; opposition politicians (Poroshenko) prosecuted — wartime norm suspension or authoritarian creep?; local elections suspended; 2024 question: when does wartime norm suspension become permanent?","NATO/EU support essential for survival — most dependency of any democracy; Russian full-scale invasion as existential threat without precedent for a democracy since WWII Finland; US support fluctuating with domestic politics — vulnerability; ICC arrest warrant for Putin","Most extreme stress test of any democracy in the entire library — existential military threat, martial law, 30% GDP contraction, 14m displaced, simultaneous. The question of whether wartime norm suspension (suspended elections, executive concentration, media consolidation) constitutes democratic backsliding or legitimate emergency response is analytically unresolved. No historical precedent for a democracy successfully resisting a full-scale invasion by a nuclear power.","Finland Winter/Continuation War (52%)","Israel 1948 founding (45%)","South Korea wartime 1950 (40%)","Good","V-Dem 2019–2024; wartime data quality lower; Transparency International CPI; Freedom House Nations in Transit"
"MDA_SANDU","Moldova","Sandu / PAS","2020–2026","Post-Soviet/E.Europe","Transition","externally_anchored_transition","High","Live — contested transition","Poorest country in Europe — GDP per capita ~$5,000; Plahotniuc oligarchic capture pre-2019 distorting entire economy; Transnistria as frozen conflict draining resources; Russian gas cut-off 2022 creating energy crisis; EU macro-financial assistance conditioning reforms","Pro-EU majority — 2024 referendum passed 50.4% despite massive disinformation campaign; Gagauzia autonomy as Russian proxy pressure point; significant diaspora (Romania, EU) as pro-reform constituency; Russian-speaking minority as potential mobilisation target","Democratic Party (Plahotniuc) captured entire state 2016–2019 — judges, prosecutors, media; Sandu reform: anti-corruption prosecutor PCCOCS; Constitutional Court reformed; PSRM (Dodon, pro-Russian) as main opposition; 2024 election + referendum held simultaneously","Sandu: former World Bank official — technocratic reformer; 2021 parliamentary majority enabling reform; 2024 presidential + EU referendum under disinformation attack; Russian interference (paid vote-buying documented at scale) attempting to flip referendum result; EU candidate status 2022","Russia: gas cut-off + Transnistria pressure + election interference + disinformation; EU: candidate status + macro-financial support + visa liberalisation; Romania: cultural/linguistic anchor + bilateral support; NATO: non-member but bordering war zone","The inverse Georgia — same post-Soviet small state, same Russian pressure, same EU aspiration, opposite government choice. Moldova is the control case for Georgia: what does EU-aligned reform look like when the government actually pursues it? The 2024 referendum passing despite documented Russian-funded vote-buying (hundreds of euros per vote in Gagauzia) is remarkable civil society resilience.","Georgia (inverse — 65%)","Baltic states early stage (60%)","Romania 1996 transition (55%)","Good","V-Dem 2000–2024; Promo-LEX election monitoring; EU Progress Reports; documented Russian interference data from CEC"
"ARM_PASHINYAN","Armenia","Pashinyan","2018–2026","Post-Soviet/E.Europe","Transition","civil_society_transition","High","Live — stress-tested","Soviet-era mining economy; remittances from diaspora (Russia, France, USA) ~12% GDP; post-2020 war economic disruption; 2022–23 Russian capital influx (sanctions circumvention) creating windfall but dependency; Azerbaijani blockade of Lachin corridor affecting trade","Velvet Revolution 2018 — civil society-led peaceful transition; 2020 Nagorno-Karabakh war trauma (6,000 dead); 2023 Karabakh Armenians (120,000) displaced to Armenia — demographic shock; anti-Pashinyan protests 2021–22 (war blamed on him); diaspora political influence unique in post-Soviet space","Republican Party (Sargsyan) captured state pre-2018; Pashinyan reformed: new electoral code, anti-corruption court; Constitutional Court partially reformed; CSTO membership — security alliance with Russia creating dependency; EU partnership without membership","Pashinyan came to power via street protest — legitimacy from below unique in post-Soviet space; two elections post-revolution confirming mandate; Karabakh loss 2023 as potential delegitimising event (did not materialise); pivot away from Russia post-war — CSTO suspended participation","Russia: CSTO security dependency vs growing alignment failure; Azerbaijan: military superiority + Turkish backing; EU: partnership agreement + growing alignment; Iran: border neighbour with strategic interests; France: diaspora-linked special relationship","Does military defeat (loss of Nagorno-Karabakh) destabilise democracies? Armenia's answer so far: no, but it reshapes foreign policy completely. Post-Soviet transition that actually happened via street mobilisation rather than elite pact — the Velvet Revolution model. CSTO membership becoming meaningless (Russia didn't protect Armenia in 2020 or 2023) creating post-Soviet security architecture crisis.","Georgia Rose Revolution (65%)","Ukraine Orange Revolution (60%)","Serbia Bulldozer (55%)","Good","V-Dem 2000–2024; OSCE/ODIHR monitoring; Caucasus Barometer surveys; IRI polling"
"BAL_THREE","Baltic states (Estonia/Latvia/Lithuania)","Various","1991–2004","Post-Soviet/E.Europe","Transition","externally_anchored_transition","High","Completed — control","Soviet economy → shock therapy → fastest post-communist growth; EU structural funds post-2004 accelerating convergence; Russian minority economic integration as policy challenge; 2008 crisis hardest hit in EU — -18% GDP Latvia — but democracy survived","Russian minority (25-40% in Estonia/Latvia) as permanent domestic security question; language laws as integration vs discrimination debate; Soviet deportation memory as founding national trauma; strong civil society emerging rapidly post-independence","Rapid constitutional consolidation — Westminster-style parliaments; lustration laws varying by country; EU/NATO accession as external institutional anchor providing reform template; strong constitutional courts from early stage","Right-of-centre dominance in early years; gradual party system normalisation; coalitions replacing single-party governments; Russian minority parties as permanent opposition with limited coalition potential; NATO accession completing security architecture","EU/NATO double anchor — most complete external institutional embedding of any transition cases; Russia as permanent threat providing unity incentive for reform; Scandinavian bilateral support (especially Finland-Estonia); German-Baltic special relationship","The cleanest test case for whether external institutional anchoring (EU+NATO) can substitute for domestic consolidation capacity. Answer: yes, but it requires genuine candidate country effort — not just external imposition (contrast Iraq). Russian minority management as ongoing stress test without democratic collapse. 2008 crisis (-18% GDP) survived democratically — important resilience data point.","West Germany post-1945 (68%)","Poland Solidarity aftermath (62%)","Czech Velvet transition (65%)","Excellent","V-Dem 1991–2024; three countries coded separately; Freedom House Nations in Transit; European Commission Progress Reports"
"CZE_CONTROL","Czech Republic","Various","1993–2016","Post-Soviet/E.Europe","Control","control_stable_democracy","High","Control — stress-tested","Most successful post-communist economic transition — GDP per capita approaching Western EU levels by 2010; Klaus era: privatisation creating domestic business class (not oligarchs); 2008 crisis managed without democratic stress; Babiš billionaire-PM as later stress test","Secular society — lowest church attendance in EU; strong civil society inherited from dissident tradition (Charter 77); Sudeten German question managed without destabilisation; Czech-Slovak peaceful dissolution as unique positive case","Strong Constitutional Court from founding — Havel's design; electoral system preventing extreme fragmentation; Zeman presidency creating later stress (direct election of president 2013); Babiš conflict of interest cases testing anti-corruption institutions","ODS-ČSSD alternation establishing two-party competition; Klaus era economic liberalism; 2013 direct presidential election introducing plebiscitary element; Babiš ANO as populist outsider winning — but within institutional constraints; Senate as anti-Zeman/Babiš counterweight","NATO 1999 + EU 2004 as double anchor completing consolidation; Visegrad Group: initially reform coalition, later (Hungary) becoming problematic; Germany as primary trade and political partner; no significant external threat","The post-communist transition that worked as designed — EU/NATO anchor + domestic institutional quality + civil society. Babiš era (2017–2021) is a critical stress test: billionaire PM with criminal charges using state resources for political purposes — yet removed electorally in 2021. Demonstrates that strong institutions can survive oligarchic capture attempts without formal democratic breakdown.","West Germany consolidation (70%)","Baltic states (65%)","Poland pre-PiS (60%)","Excellent","V-Dem 1993–2024; highest quality post-communist data; European Commission rule of law reports"
"DEU_CONTROL","Germany (post-reunification)","Kohl/Schröder/Merkel/Scholz","1990–2026","Post-Soviet/E.Europe","Control","control_stable_democracy","High","Control — stressed","Reunification cost (~1.5 trillion EUR over 30yr) creating persistent East-West inequality; Hartz IV reforms 2003–05 creating precariat — AfD base; 2008 crisis managed via export strength; 2022 energy crisis (Russian gas dependency) as major vulnerability; deindustrialisation pressure","Weimar memory as permanent constitutional consciousness; Eastern Germany: SED nostalgia + economic grievance + identity politics = AfD base; migration crisis 2015 as polarisation accelerant; post-reunification identity gap (Ostalgie); aging population + labour shortage tension","Basic Law specifically designed to prevent Weimar failures: 5% threshold, constructive vote of no confidence, strong Constitutional Court, federal balance; AfD entering Bundestag 2017 testing institutional resilience; Constitutional Court banning far-right parties historically (SRP 1952, KPD 1956)","CDU/SPD Volksparteien decline — fragmentation toward 6-party system; AfD rise to 20%+ nationally + state government entry; traffic light coalition instability 2021–24; SPD-CDU grand coalition as crisis management mechanism; Friedrich Merz CDU rightward shift in response to AfD","NATO anchor + EU founding member; Russia: gas dependency converted to vulnerability (Nordstream); US: Trump uncertainty creating strategic autonomy debate; China: trade dependency vs value conflict; historical responsibility creating unique constraints on foreign policy","The country that designed its democracy specifically to prevent its own historical collapse — and the Basic Law has held for 75 years. The most important control case in the European library. AfD at 20%+ is the highest far-right support seen in Germany since WWII — yet Constitutional Court processes and institutional resilience functioning. The difference between Germany and Weimar is precisely what the DSI should be able to measure.","West Germany 1950s (own earlier phase — 75%)","France 5th Republic (60%)","None for stress pattern","Excellent","V-Dem 1919–2024 (including Weimar); Infratest dimap; Allensbach; Bundestag election data; Constitutional Court decisions"
"FIN_CONTROL","Finland","Various","1939–2026","Post-Soviet/E.Europe","Control","control_stable_democracy","High","Control — extreme stress","Winter War + Continuation War economic mobilisation; Cold War Finlandisation requiring delicate economic balancing; Nokia-era tech boom; 2008–2015 double recession hardest in EU after Baltics; 2022 NATO accession changing security economic calculus; welfare state model maintained throughout","Winter War as national founding trauma and cohesion event; Swedish-speaking minority managed without destabilisation; Finlandisation: self-censorship culture during Cold War — interesting democracy under external pressure model; Sámi minority rights as ongoing question; 2015 migration creating first significant far-right (Finns Party) rise","Strong parliamentary tradition since 1906 (first European country with full women's suffrage); president as significant executive actor during Cold War (Kekkonen); post-Cold War: parliamentary democracy strengthening; Constitutional Law Committee rather than Constitutional Court as Finnish model","Centre-Left-Right rotation without dominant party; Kekkonen 25yr presidency as managed Finlandisation; SDP-Centre competition as norm; Finns Party entering coalition 2015 + 2023 as mainstream accommodation of populism; 2023 Orpo-Finns Party coalition: populism governing within institutions","Soviet Union as permanent existential threat 1940–1991 — Finlandisation as survival strategy; NATO accession 2023 after 80yr neutrality — triggered by Ukraine war; EU 1995 as economic anchor; Sweden as closest partner; Russia as permanent threat now fully acknowledged","Democracy surviving Winter War (-40% territory, 100,000 dead) and Continuation War + Cold War Finlandisation + double recession — the most comprehensive external stress test of any democracy without collapse. Finlandisation is the key concept: democracy choosing self-limitation under external pressure as survival strategy. NATO accession 2023 after 80yr neutrality is the most dramatic foreign policy shift of any democracy since WWII.","Switzerland neutrality model (50%)","Israel security democracy (45%)","No close match — genuinely unique","Excellent","V-Dem 1900–2024; Statistics Finland; EVS/WVS survey data; excellent historical documentation"
"SVK_FICO","Slovakia","Fico","2023–2026","Post-Soviet/E.Europe","Consolidation","gradual_legal_consolidation","High","Live — early stage","Post-communist convergence economy integrated into German automotive supply chain; Fico return: questioning EU sanctions on Russia affecting Slovak energy interests; 2023 government rollback of anti-corruption prosecutor (ÚŠOS) reforms; Hungarian-style EU fund capture beginning","Fico assassination attempt May 2024 — political violence raising stakes; pro-Russian sentiment higher than most EU states; Smer party base: rural, older, economically anxious; Čaputová (pro-EU president, term expired 2024) as institutional counterweight","Constitutional Court composition becoming issue; ÚŠOS (Special Prosecutor) dismantled 2024 — direct parallel to Poland PiS; public broadcaster RTVS restructured; judicial reform threatening independence; EU rule of law mechanism activated","Fico third comeback — political longevity without parallel in EU; 2023 election won on anti-Ukraine/anti-sanctions platform; coalition with Hlas (Pellegrini, former Fico ally now president) creating intra-coalition tension; opposition fragmented","EU: rule of law proceedings beginning; NATO: member but Fico blocking Ukraine aid; Czech Republic as closest ally pulling toward EU alignment; Hungary Orbán as model and ally; Russia: energy dependency + political sympathy","Slovakia is the fastest-moving current EU consolidation case — ÚŠOS dismantled within 6 months of government formation, faster than Poland PiS. Fico assassination attempt (May 2024) is first attempted assassination of an EU head of government — unprecedented modern event. The Pellegrini presidency as intra-coalition constraint is unique: the president is from Fico's own former party but now a rival.","Hungary Orbán year 1–2 (72%)","Poland PiS year 1 (68%)","Romania Iliescu (50%)","Good","V-Dem 1993–2024; Transparency International Slovakia; MEMO98 media monitoring; EU rule of law report 2024"
"CHE_UNIQUE","Switzerland","Federal Council (collective)","1848–2026","Post-Soviet/E.Europe","Unique","edge_direct_democracy","Low","Edge case — no path match","Neutral financial hub — banking secrecy as economic model; watch/pharma/precision industry export economy; no EU membership but bilateral agreements (7 packages); CHF as safe haven currency; wealth concentration among highest globally but Gini moderate due to redistribution","Four linguistic communities (German/French/Italian/Romansh) managed via federalism; consensus culture (Konkordanz) across party lines; direct democracy creating citizen engagement but also populist initiative risk (minarets, deportation initiatives); strong Heimat identity without ethnic nationalism","Federal Council: 7-member collective executive, magic formula party allocation — no prime minister; bicameralism (Nationalrat + Ständerat); mandatory referendum for constitutional changes; optional referendum for legislation; popular initiative for constitutional amendment — 100,000 signatures","Magic formula: CVP/FDP/SP/SVP power sharing — no opposition/government binary; SVP rise since 1990s as nativist challenge to consensus; 2021 institutional agreement with EU collapse creating bilateral uncertainty; direct democracy producing contradictory policies (accepted free movement + voted against it)","Permanent neutrality since 1815 — only country to maintain it through both World Wars; non-UN member until 2002; non-NATO + non-EU but deeply integrated; OSCE founding member; Ukraine war: first major neutrality challenge — partial sanctions alignment","No comparable case exists anywhere in the library. Consociational democracy with mandatory direct democracy elements operating for 175 years without interruption — the most durable democratic system in the dataset. The SVP (Swiss People's Party) case is analytically important: the largest party in parliament is nativist/Eurosceptic, yet operates entirely within democratic institutions — contrast with AfD, Le Pen, Orbán. Direct democracy as a simultaneous stabiliser (citizen buy-in) and risk (populist initiatives). Genuine model boundary case: cannot be matched to any historical path.","None — no meaningful match","Netherlands consociationalism (partial, 35%)","Costa Rica stability (30%)","Excellent","V-Dem 1848–2024; Swiss Federal Chancellery; SELECTS survey; longest continuous democracy dataset in library"
"TWN_TRANSITION","Taiwan","Lee Teng-hui / Chen Shui-bian","1986–2000","Asia-Pacific","Control","development_driven_transition","High","Completed — control","KMT authoritarian developmental state creating export-led middle class; GDP per capita $3k (1986) → $14k (2000); semiconductor industry (TSMC founded 1987) as strategic economic anchor; land reform 1950s eliminating rural oligarchy — removing consolidation resource base","Mainlander vs Taiwanese identity tension managed through democratisation; Presbyterian Church as civil society backbone; student Wild Lily Movement 1990 — cross-class mobilisation; Taiwanese identity strengthening as democratisation deepens; KMT 'white terror' 1949–1987 as founding trauma","Martial law lifted 1987 after 38 years — longest in world history; National Assembly reform; Direct presidential election 1996 (first in Chinese-speaking world); PRC missile tests during election — democracy surviving external military pressure; Constitutional Court gaining independence","KMT internal reform faction (Lee Teng-hui) driving liberalisation from within — mirrors Spain post-Franco; DPP opposition formation 1986; 2000 first transfer to DPP (Chen Shui-bian) completing consolidation; KMT accepting loss — critical moment","PRC permanent existential threat — 1996 missile crisis during first direct presidential election; US security guarantee enabling democratic risk-taking; Japan: historical complexity + strategic alignment; WTO accession 2002 as economic anchor","Democratisation driven from within the ruling party (Lee Teng-hui) — mirrors Spain's Suárez but in an Asian developmental state context. 1996 missile crisis: PRC military intimidation during first direct presidential election failed — democracy held under direct military threat from nuclear power. TSMC as strategic democratic asset: semiconductor dominance creating 'silicon shield' that gives democracy geopolitical value.","South Korea 1980–1993 (78%)","Spain post-Franco (65%)","Japan LDP late reform (52%)","Excellent","V-Dem 1900–2024; Academia Sinica survey data; Election Study Center NCCU; OSCE not present but domestic monitoring strong"
"KOR_DEMO","South Korea (democratic period)","Kim Young-sam / Kim DJ / Roh / Lee / Park / Moon / Yoon","1993–2026","Asia-Pacific","Control","control_stable_democracy","High","Control — stressed 2024","Chaebol-dominated economy creating corruption-democracy tension; 1997 Asian crisis — IMF bailout nearly destabilising (Chaebol restructuring); 2016 Park Geun-hye scandal (Choi Soon-sil) → impeachment showing institutions working; Yoon 2024 martial law attempt as acute stress test","Candlelight protests 2016–17 (1.7m) removing president via impeachment — largest democratic mobilisation in Korean history; MeToo movement strong; generational divide (youth vs elderly) on political alignment; high educational attainment creating demanding civil society","Constitutional Court impeachment of Park Geun-hye 2017 — landmark institutional self-correction; National Assembly functioning as genuine check; Yoon December 2024 martial law declared and reversed within 6 hours — institutions held; independent prosecution enabling elite accountability","DJ Kim: first transfer to opposition 1997; three peaceful transfers; Lee Myung-bak and Park Geun-hye both prosecuted post-office; Yoon Suk-yeol martial law declaration December 3 2024 — most acute democratic stress test since 1987; National Assembly vote removing martial law within hours","North Korea: permanent existential threat providing military justification for state; US alliance as security anchor; China: largest trade partner vs US alliance tension; Japan: historical grievance + security alignment; THAAD deployment as China-US proxy conflict","Yoon December 2024 martial law is the most acute democratic stress test of any consolidating democracy in the dataset — a sitting president declared martial law at 10pm, the National Assembly voted it down by 190-0 at 1am, and it was lifted by 4am. Fastest democratic self-correction in the library. Park Geun-hye impeachment + Yoon reversal: two major institutional stress tests passed within 8 years. South Korea is the strongest Asian control case.","Taiwan democratic period (72%)","Brazil institutional resilience (65%)","Czech Republic stress test (60%)","Excellent","V-Dem 1900–2024; Korea Democracy Barometer; National Election Commission; Yoon martial law December 2024 — data still incoming"
"IDN_TRANSITION","Indonesia","Wahid / Megawati / SBY / Jokowi","1998–2026","Asia-Pacific","Transition","economic_crisis_transition","High","Consolidating — Prabowo concerns","Asian financial crisis 1997–98: rupiah lost 80% value, Suharto 32yr regime collapsed within months; Reformasi economic restructuring + IMF conditionality; commodity export economy (palm oil, coal, nickel) creating resource dependency; Jokowi infrastructure-led growth; 2024: Prabowo government — son of Suharto as VP (Gibran)","World's largest Muslim majority democracy — Islam and democracy compatibility as global demonstration case; 270m people, 17,000 islands, 700+ languages — governance complexity unmatched; decentralisation creating local strongman politics (bossism); 1998 anti-Chinese riots as ethnic violence warning","1998–2002 constitutional amendments: direct presidential election, term limits, civilian military control, Constitutional Court created; KPK anti-corruption commission — later weakened by Jokowi 2019; Mahkamah Konstitusi (Constitutional Court) ruling on Gibran eligibility (Jokowi's son) enabling dynastic politics","Reformasi coalition fracturing into patronage networks; SBY era: democratic consolidation + anti-corruption; Jokowi: popular outsider → dynasty builder (Gibran as VP); Prabowo 2024 victory — former military general accused of 1998 abductions; democratic quality declining without formal breakdown","ASEAN membership providing regional legitimacy norm; China: Belt and Road investment + South China Sea tension; US: democratic ally + strategic partner; Australia: security partner; IMF structural adjustment conditioning 1998–2000 transition","Largest Muslim-majority democracy in world — the global demonstration case for Islam-democracy compatibility. Transition triggered entirely by economic crisis (1997 Asian financial crisis) rather than political mobilisation — the most economically-determined transition in the library. Jokowi-Gibran dynastic politics using Constitutional Court manipulation to enable son's candidacy is new mechanism: judicial capture serving dynastic not partisan consolidation. Prabowo 2024 — a man accused of ordering 1998 disappearances winning democratic election.","Brazil re-democratisation (62%)","Philippines Marcos legacy (58%)","South Korea pre-1987 (55%)","Good","V-Dem 1945–2024; SMRC/Indikator polling; KPU election data; ANFREL monitoring; note Suharto period coded separately"
"BGD_HASINA","Bangladesh","Sheikh Hasina","2009–2024","Asia-Pacific","Resilience","rapid_popular_reversal","High","Completed arc — August 2024","Garment industry ($40bn export) as economic foundation — workers as political constituency; Hasina: genuine economic growth (7%+ GDP) providing legitimacy; 2022 energy crisis + inflation eroding living standards; Yunus caretaker government: IMF negotiations + anti-corruption drive","Student protest movement (Anti-Discrimination Movement) July–August 2024 — triggered by quota system for 1971 liberation war descendants; Gen Z digital mobilisation unprecedented in South Asia; Hasina fled August 5 2024 after army withdrew support; 400+ killed in 6 weeks of protests","Awami League captured election commission, judiciary, civil service over 15 years; 2014 and 2018 elections neither free nor fair; BNP (main opposition) systematically suppressed; army as ultimate veto player — withdrew support August 5 triggering collapse; Muhammad Yunus interim government from August 2024","Hasina: daughter of independence leader — legitimacy from liberation war founding myth; BNP (Khaleda Zia) as main opposition; two-family political duopoly (Hasina/Zia) for 30 years; quota protests spreading beyond quota issue to full regime rejection within 3 weeks; speed of collapse unmatched in modern dataset","India: strategic ally backing Hasina — Modi relationship; China: Belt and Road investment; US: democracy concerns vs strategic interests; Yunus: Nobel laureate, international legitimacy enabling rapid recognition; IMF: conditionality supporting reform government","Fastest regime collapse in the modern dataset — from student protests to prime minister fleeing in 6 weeks. First regime in library ended primarily by Gen Z digital mobilisation (TikTok/Facebook coordination). The quota protests began as a specific policy grievance and became a general anti-regime movement within days — shows how rapidly single-issue protests can generalise in high-repression contexts. First female authoritarian leader removed in the library — adds gender dimension previously absent. Army withdrawal of support as the decisive mechanism rather than institutional vote or election.","Iran 1979 (speed of collapse — 48%)","Sudan 2019 (army withdrawal — 65%)","Philippines People Power (55%)","Good","V-Dem 2000–2024; Daily Star Bangladesh; Prothom Alo; August 2024 events still being coded; ANFREL election monitoring"
"PHL_MARCOS","Philippines (Marcos Sr.)","Ferdinand Marcos Sr.","1972–1986","Asia-Pacific","Collapse","mass_mobilisation_removal","High","Completed arc","Crony capitalism: Marcos-linked oligarchs controlling major industries; martial law justified by communist threat + economic development; 1983 Aquino assassination triggering capital flight and economic crisis; IMF bailout 1984; economy contracting 7% 1984–85 — collapse precursor","People Power Revolution February 1986 — 2 million in EDSA highway; Catholic Church (Cardinal Sin) as civil society organiser; Ninoy Aquino assassination 1983 as galvanising event; middle class joining anti-Marcos coalition; military reform movement (RAM) creating elite fracture","Martial law 1972 suspending constitution; 1973 constitution enabling Marcos indefinite rule; Batasang Pambansa as rubber stamp; Comelec captured; snap election 1986 — Marcos declaring victory despite Corazon Aquino winning; NAMFREL parallel count showing Aquino winning","Snap election triggered by US pressure (Reagan administration); NAMFREL (civil society parallel count) as new mechanism; military defection (Enrile/Ramos) triggering People Power; Marcos exile to Hawaii — US-managed exit; Aquino transition internationally supported","US: Cold War anti-communist ally → democracy pressure post-Aquino assassination; Reagan administration: Reagan-Marcos relationship personal; Marcos exile to Hawaii US-facilitated; IMF conditionality; Catholic Church international connections","People Power Revolution is the original template for mass civic mobilisation removing an authoritarian. The NAMFREL parallel vote count (1986) is the first documented case of civil society parallel vote tabulation — precursor to Venezuela 2024 actas. Military defection (Enrile/Ramos joining People Power) as mechanism: authoritarian collapse requires elite fracture, not just mass mobilisation. Catholic Church mobilisation as specific to Catholic-majority societies — Filipino, Polish, Chilean parallels.","Chile 1973 (averted — inverse, 45%)","Iran 1979 (mass mobilisation, 50%)","Romania 1989 (elite fracture, 52%)","Good","V-Dem 1945–2024; NAMFREL documentation; Ateneo de Manila election studies; Teresa Encarnacion Tadem research"
"PHL_DUTERTE","Philippines (Duterte/Marcos Jr.)","Duterte / Marcos Jr.","2016–2026","Asia-Pacific","Consolidation","electoral_authoritarian_return","High","Live — Marcos Jr. consolidating","Duterte: populist infrastructure spending + drug war; Marcos Jr.: son of dictator winning via social media nostalgia campaign; Chinese investment as alternative to US; economic growth maintained despite authoritarian drift; Sara Duterte as VP then falling out — coalition fracture 2024","Drug war: 6,000–30,000 killed extrajudicially — state violence at scale; social media disinformation (Marcos rehabilitation narrative on TikTok/Facebook) as primary tool; millennial voters with no Marcos dictatorship memory; Sara Duterte-Marcos Jr. falling out creating unusual coalition breakdown","ICC investigation into drug war killings — Philippines withdrew from ICC 2019; Supreme Court: some independence maintained; Commission on Elections: functional but under pressure; ABS-CBN broadcast network closure 2020 as media capture; Anti-Terrorism Act 2020","Duterte 2016: anti-establishment outsider + brutal drug war + China pivot; Marcos Jr. 2022: 31m votes (largest in Philippine history) on nostalgia + social media rehabilitation; Leni Robredo as opposition — losing but maintaining democratic opposition viability; Sara Duterte VP then impeachment threat 2024","US: traditional ally + ICC tension + Marcos rehabilitation problematic; China: South China Sea disputes intensifying under Marcos Jr. (pivot back to US); ICC: withdrew but investigation continues; diaspora (10m overseas Filipinos) as political constituency","Nostalgia authoritarianism: the son of the dictator whose removal was a global democracy milestone winning the largest electoral victory in Philippine history via TikTok rehabilitation campaign. No historical parallel for a dictator's direct heir democratically winning 31 years after People Power. Social media as historical revisionism tool operating at scale. Sara Duterte coalition breakdown (VP threatening to assassinate president) is constitutionally unprecedented.","Argentina Peronism return cycles (55%)","Nicaragua Ortega return (50%)","Hungary Orbán (gradual — 48%)","Good","V-Dem 2000–2024; PULSE Asia surveys; COMELEC data; PCIJ investigative journalism; ICC preliminary examination documents"
"PAK_CYCLICAL","Pakistan","Various military/civilian","1947–2026","Asia-Pacific","Stable","cyclical_instability","High","Live — cyclical","IMF dependency: 23 IMF programmes since 1958 — most in Asia; military budget ~4% GDP regardless of civilian/military government; remittances from Gulf diaspora ~$30bn/yr as stabilising factor; China CPEC ($60bn) creating new patron dependency; 2022–23 IMF crisis + inflation spike","Islam as constitutional framework (Islamic Republic) + secular military tradition tension; Pashtun/Punjabi/Sindhi/Baloch ethnic federalism under permanent stress; Ahmadiyya persecution as constitutional discrimination; Imran Khan: first leader with mass urban youth base (PTI); blasphemy law as social control mechanism","Military as 'deep state': ISI controlling foreign policy, strategic industries, media; Supreme Court: occasional independence (Musharraf removal 2007 lawyers movement); National Accountability Bureau as political weapon; 18th Amendment 2010: significant civilian powers — then military circumventing","4 direct coups (1958/1969/1977/1999); Zulfikar Ali Bhutto executed; Benazir Bhutto assassinated; Imran Khan: 2018 won with military support → 2022 no-confidence removal → 2024 jailed + election manipulation; PTI winning 2024 election while leader in jail — unique","US: Cold War ally + War on Terror + democracy pressure tension; China: CPEC + all-weather friendship; India: Kashmir permanent conflict; Afghanistan: Taliban border dynamic; Saudi Arabia/Gulf: financial support + religious influence; nuclear arsenal as ultimate constraint","Nuclear-armed cyclical democracy — the only nuclear state in the dataset with genuine alternation between military and civilian rule. Imran Khan 2024: first case of a party winning parliamentary elections while its leader is in jail and its candidates forced to run as independents — and still winning. The military as the permanent constitutional actor operating outside the constitution is the defining structural feature. 23 IMF programmes demonstrates that economic crisis alone cannot force democratic consolidation.","Thailand cyclical (65%)","Bangladesh pre-2009 (60%)","Turkey military period (55%)","Good","V-Dem 1947–2024; PILDAT democracy assessment; IRI Pakistan surveys; note military periods require separate coding"
